REPORT 011 - cumulativo docenti CDS AD UD,,,,,12 settembre 2018,,,,,,,
,,,,,,,,,,,,
REPORT 011 - cumulativo docenti CDS AD UD,,,,,,,12 settembre 2018,,,,,
,,,,,,,,,,,,
Anno Accademico:,2016/2017,,,,,,,,,,,
,,,,,,,,,,,,
Dipartimento:,Dipartimento di Ingegneria e Architettura - H3,,,,,,,,,,,
Corso:,"L2 - INGEGNERIA INFORMATICA, ELETTRONICA E DELLE TELECOMUNICAZIONI - (3050)",,,,,,,,,,,
AD:,198491 - Nome insegnamento,,,,,,,,,,,
UD:,500788 - Nome modulo,,,,,,,,,,,
Docente:,376468 - Nome docente,,,,,,,,,,,
,,,,,,,,,,,,
,,,Valori assoluti,,,,,,Valori percentuali,,,
Domanda,,N. risposte,Decisamente No,Più No che Sì,,Più Sì che No,,Decisamente Sì,Decisamente No,Più No che Sì,Più Sì che No,Decisamente Sì
Le conoscenze preliminari possedute sono risultate sufficienti per la comprensione degli argomenti previsti nel programma d'esame?,,12,0,1,,7,,4,0.00%,8.33%,58.33%,33.33%
Il carico di studio dell'insegnamento è proporzionato ai crediti assegnati?,,12,0,1,,8,,3,0.00%,8.33%,66.67%,25.00%
Il materiale didattico (indicato e disponibile) è adeguato per lo studio della materia?,,12,0,0,,4,,8,0.00%,0.00%,33.33%,66.67%
Le modalità di esame sono state definite in modo chiaro?,,12,0,0,,4,,8,0.00%,0.00%,33.33%,66.67%
"Gli orari di svolgimento di lezioni, esercitazioni e altre eventuali attività didattiche sono rispettati?",,12,0,0,,1,,11,0.00%,0.00%,8.33%,91.67%
Il docente stimola/motiva l'interesse verso la disciplina?,,12,0,1,,8,,3,0.00%,8.33%,66.67%,25.00%
Il docente espone gli argomenti in modo chiaro?,,12,0,2,,6,,4,0.00%,16.67%,50.00%,33.33%
"Le attività didattiche integrative (esercitazini, tutorati,laboratori, etc...) sono utili all'apprendimento della materia?",,12,0,0,,3,,9,0.00%,0.00%,25.00%,75.00%
L'insegnamento è stato svolto in maniera coerente con quanto dichiarato sul sito Web del corso di studio?,,12,0,0,,4,,8,0.00%,0.00%,33.33%,66.67%
Il docente è reperibile per chiarimenti e spiegazioni?,,12,0,0,,3,,9,0.00%,0.00%,25.00%,75.00%
E' interessato/a agli argomenti trattati nell'insegnamento?,,12,0,2,,7,,3,0.00%,16.67%,58.33%,25.00%
Dipartimento:,Dipartimento di Ingegneria e Architettura - H3,,,,,,,,,,,
Corso:,"L2 - INGEGNERIA INFORMATICA, ELETTRONICA E DELLE TELECOMUNICAZIONI - (3050)",,,,,,,,,,,
AD:,987040 - Nome insegnamento,,,,,,,,,,,
UD:,924209 - Nome modulo,,,,,,,,,,,
Docente:,215831 - Nome docente,,,,,,,,,,,
,,,,,,,,,,,,
,,,Valori assoluti,,,,,,Valori percentuali,,,
Domanda,,N. risposte,Decisamente No,Più No che Sì,,Più Sì che No,,Decisamente Sì,Decisamente No,Più No che Sì,Più Sì che No,Decisamente Sì
Le conoscenze preliminari possedute sono risultate sufficienti per la comprensione degli argomenti previsti nel programma d'esame?,,65,6,16,,22,,21,9.23%,24.62%,33.85%,32.31%
Il carico di studio dell'insegnamento è proporzionato ai crediti assegnati?,,65,6,9,,36,,14,9.23%,13.85%,55.38%,21.54%
Il materiale didattico (indicato e disponibile) è adeguato per lo studio della materia?,,65,10,16,,26,,13,15.38%,24.62%,40.00%,20.00%
Le modalità di esame sono state definite in modo chiaro?,,65,5,7,,29,,24,7.69%,10.77%,44.62%,36.92%
"Gli orari di svolgimento di lezioni, esercitazioni e altre eventuali attività didattiche sono rispettati?",,65,2,4,,26,,33,3.08%,6.15%,40.00%,50.77%
Il docente stimola/motiva l'interesse verso la disciplina?,,65,13,10,,27,,15,20.00%,15.38%,41.54%,23.08%
Il docente espone gli argomenti in modo chiaro?,,65,9,14,,26,,16,13.85%,21.54%,40.00%,24.62%
"Le attività didattiche integrative (esercitazioni, tutorati,laboratori, etc…), ove esistenti, sono utili all'apprendimento della materia?",,65,6,13,,30,,16,9.23%,20.00%,46.15%,24.62%
L'insegnamento è stato svolto in maniera coerente con quanto dichiarato sul sito Web del corso di studio?,,65,5,5,,37,,18,7.69%,7.69%,56.92%,27.69%
Il docente è reperibile per chiarimenti e spiegazioni?,,65,2,5,,31,,27,3.08%,7.69%,47.69%,41.54%
E' interessato/a agli argomenti trattati nell'insegnamento?,,65,9,4,,27,,25,13.85%,6.15%,41.54%,38.46%
Dipartimento:,Dipartimento di Ingegneria e Architettura - H3,,,,,,,,,,,
Corso:,"L2 - INGEGNERIA INFORMATICA, ELETTRONICA E DELLE TELECOMUNICAZIONI - (3050)",,,,,,,,,,,
AD:,968137 - Nome insegnamento,,,,,,,,,,,
UD:,537745 - Nome modulo,,,,,,,,,,,
Docente:,320803 - Nome docente,,,,,,,,,,,
,,,,,,,,,,,,
,,,Valori assoluti,,,,,,Valori percentuali,,,
Domanda,,N. risposte,Decisamente No,Più No che Sì,,Più Sì che No,,Decisamente Sì,Decisamente No,Più No che Sì,Più Sì che No,Decisamente Sì
Le conoscenze preliminari possedute sono risultate sufficienti per la comprensione degli argomenti previsti nel programma d'esame?,,63,11,16,,27,,9,17.46%,25.40%,42.86%,14.29%
Il carico di studio dell'insegnamento è proporzionato ai crediti assegnati?,,63,13,21,,19,,10,20.63%,33.33%,30.16%,15.87%
Il materiale didattico (indicato e disponibile) è adeguato per lo studio della materia?,,63,2,10,,26,,25,3.17%,15.87%,41.27%,39.68%
Le modalità di esame sono state definite in modo chiaro?,,63,2,10,,24,,27,3.17%,15.87%,38.10%,42.86%
"Gli orari di svolgimento di lezioni, esercitazioni e altre eventuali attività didattiche sono rispettati?",,63,1,1,,25,,36,1.59%,1.59%,39.68%,57.14%
Il docente stimola/motiva l'interesse verso la disciplina?,,63,8,14,,30,,11,12.70%,22.22%,47.62%,17.46%
Il docente espone gli argomenti in modo chiaro?,,63,9,16,,28,,10,14.29%,25.40%,44.44%,15.87%
"Le attività didattiche integrative (esercitazini, tutorati,laboratori, etc...) sono utili all'apprendimento della materia?",,63,4,12,,29,,18,6.35%,19.05%,46.03%,28.57%
